X,Y,Time,Temperature
0.00,0.00,0.39,0.50
0.05,0.00,0.39,0.50
0.10,0.00,0.39,0.50
0.15,0.00,0.39,0.50
0.20,0.00,0.39,0.50
0.25,0.00,0.39,0.50
0.30,0.00,0.39,0.50
0.35,0.00,0.39,0.50
0.40,0.00,0.39,0.50
0.45,0.00,0.39,0.50
0.50,0.00,0.39,0.50
0.55,0.00,0.39,0.50
0.60,0.00,0.39,0.50
0.65,0.00,0.39,0.50
0.70,0.00,0.39,0.50
0.75,0.00,0.39,0.50
0.80,0.00,0.39,0.50
0.85,0.00,0.39,0.50
0.90,0.00,0.39,0.50
0.95,0.00,0.39,0.50
1.00,0.00,0.39,0.25
0.00,0.05,0.39,0.50
0.05,0.05,0.39,0.50
0.10,0.05,0.39,0.50
0.15,0.05,0.39,0.50
0.20,0.05,0.39,0.49
0.25,0.05,0.39,0.49
0.30,0.05,0.39,0.49
0.35,0.05,0.39,0.49
0.40,0.05,0.39,0.49
0.45,0.05,0.39,0.49
0.50,0.05,0.39,0.49
0.55,0.05,0.39,0.48
0.60,0.05,0.39,0.48
0.65,0.05,0.39,0.48
0.70,0.05,0.39,0.47
0.75,0.05,0.39,0.47
0.80,0.05,0.39,0.46
0.85,0.05,0.39,0.45
0.90,0.05,0.39,0.43
0.95,0.05,0.39,0.36
1.00,0.05,0.39,0.25
0.00,0.10,0.39,0.50
0.05,0.10,0.39,0.50
0.10,0.10,0.39,0.49
0.15,0.10,0.39,0.49
0.20,0.10,0.39,0.49
0.25,0.10,0.39,0.49
0.30,0.10,0.39,0.48
0.35,0.10,0.39,0.48
0.40,0.10,0.39,0.48
0.45,0.10,0.39,0.47
0.50,0.10,0.39,0.47
0.55,0.10,0.39,0.47
0.60,0.10,0.39,0.46
0.65,0.10,0.39,0.46
0.70,0.10,0.39,0.45
0.75,0.10,0.39,0.44
0.80,0.10,0.39,0.43
0.85,0.10,0.39,0.41
0.90,0.10,0.39,0.37
0.95,0.10,0.39,0.32
1.00,0.10,0.39,0.25
0.00,0.15,0.39,0.50
0.05,0.15,0.39,0.50
0.10,0.15,0.39,0.49
0.15,0.15,0.39,0.49
0.20,0.15,0.39,0.48
0.25,0.15,0.39,0.48
0.30,0.15,0.39,0.48
0.35,0.15,0.39,0.47
0.40,0.15,0.39,0.47
0.45,0.15,0.39,0.46
0.50,0.15,0.39,0.46
0.55,0.15,0.39,0.45
0.60,0.15,0.39,0.44
0.65,0.15,0.39,0.44
0.70,0.15,0.39,0.43
0.75,0.15,0.39,0.41
0.80,0.15,0.39,0.40
0.85,0.15,0.39,0.37
0.90,0.15,0.39,0.34
0.95,0.15,0.39,0.30
1.00,0.15,0.39,0.25
0.00,0.20,0.39,0.50
0.05,0.20,0.39,0.49
0.10,0.20,0.39,0.49
0.15,0.20,0.39,0.48
0.20,0.20,0.39,0.48
0.25,0.20,0.39,0.47
0.30,0.20,0.39,0.47
0.35,0.20,0.39,0.46
0.40,0.20,0.39,0.46
0.45,0.20,0.39,0.45
0.50,0.20,0.39,0.44
0.55,0.20,0.39,0.44
0.60,0.20,0.39,0.43
0.65,0.20,0.39,0.42
0.70,0.20,0.39,0.41
0.75,0.20,0.39,0.39
0.80,0.20,0.39,0.37
0.85,0.20,0.39,0.35
0.90,0.20,0.39,0.32
0.95,0.20,0.39,0.29
1.00,0.20,0.39,0.25
0.00,0.25,0.39,0.50
0.05,0.25,0.39,0.49
0.10,0.25,0.39,0.49
0.15,0.25,0.39,0.48
0.20,0.25,0.39,0.47
0.25,0.25,0.39,0.47
0.30,0.25,0.39,0.46
0.35,0.25,0.39,0.45
0.40,0.25,0.39,0.45
0.45,0.25,0.39,0.44
0.50,0.25,0.39,0.43
0.55,0.25,0.39,0.42
0.60,0.25,0.39,0.41
0.65,0.25,0.39,0.40
0.70,0.25,0.39,0.39
0.75,0.25,0.39,0.37
0.80,0.25,0.39,0.36
0.85,0.25,0.39,0.33
0.90,0.25,0.39,0.31
0.95,0.25,0.39,0.28
1.00,0.25,0.39,0.25
0.00,0.30,0.39,0.50
0.05,0.30,0.39,0.49
0.10,0.30,0.39,0.48
0.15,0.30,0.39,0.48
0.20,0.30,0.39,0.47
0.25,0.30,0.39,0.46
0.30,0.30,0.39,0.45
0.35,0.30,0.39,0.44
0.40,0.30,0.39,0.44
0.45,0.30,0.39,0.43
0.50,0.30,0.39,0.42
0.55,0.30,0.39,0.41
0.60,0.30,0.39,0.40
0.65,0.30,0.39,0.39
0.70,0.30,0.39,0.37
0.75,0.30,0.39,0.36
0.80,0.30,0.39,0.34
0.85,0.30,0.39,0.32
0.90,0.30,0.39,0.30
0.95,0.30,0.39,0.28
1.00,0.30,0.39,0.25
0.00,0.35,0.39,0.50
0.05,0.35,0.39,0.49
0.10,0.35,0.39,0.48
0.15,0.35,0.39,0.47
0.20,0.35,0.39,0.46
0.25,0.35,0.39,0.45
0.30,0.35,0.39,0.44
0.35,0.35,0.39,0.43
0.40,0.35,0.39,0.43
0.45,0.35,0.39,0.42
0.50,0.35,0.39,0.41
0.55,0.35,0.39,0.40
0.60,0.35,0.39,0.39
0.65,0.35,0.39,0.37
0.70,0.35,0.39,0.36
0.75,0.35,0.39,0.35
0.80,0.35,0.39,0.33
0.85,0.35,0.39,0.31
0.90,0.35,0.39,0.29
0.95,0.35,0.39,0.27
1.00,0.35,0.39,0.25
0.00,0.40,0.39,0.50
0.05,0.40,0.39,0.49
0.10,0.40,0.39,0.48
0.15,0.40,0.39,0.47
0.20,0.40,0.39,0.46
0.25,0.40,0.39,0.45
0.30,0.40,0.39,0.44
0.35,0.40,0.39,0.43
0.40,0.40,0.39,0.42
0.45,0.40,0.39,0.41
0.50,0.40,0.39,0.40
0.55,0.40,0.39,0.39
0.60,0.40,0.39,0.37
0.65,0.40,0.39,0.36
0.70,0.40,0.39,0.35
0.75,0.40,0.39,0.34
0.80,0.40,0.39,0.32
0.85,0.40,0.39,0.31
0.90,0.40,0.39,0.29
0.95,0.40,0.39,0.27
1.00,0.40,0.39,0.25
0.00,0.45,0.39,0.50
0.05,0.45,0.39,0.49
0.10,0.45,0.39,0.47
0.15,0.45,0.39,0.46
0.20,0.45,0.39,0.45
0.25,0.45,0.39,0.44
0.30,0.45,0.39,0.43
0.35,0.45,0.39,0.42
0.40,0.45,0.39,0.41
0.45,0.45,0.39,0.40
0.50,0.45,0.39,0.39
0.55,0.45,0.39,0.37
0.60,0.45,0.39,0.36
0.65,0.45,0.39,0.35
0.70,0.45,0.39,0.34
0.75,0.45,0.39,0.33
0.80,0.45,0.39,0.31
0.85,0.45,0.39,0.30
0.90,0.45,0.39,0.28
0.95,0.45,0.39,0.27
1.00,0.45,0.39,0.25
0.00,0.50,0.39,0.50
0.05,0.50,0.39,0.49
0.10,0.50,0.39,0.47
0.15,0.50,0.39,0.46
0.20,0.50,0.39,0.44
0.25,0.50,0.39,0.43
0.30,0.50,0.39,0.42
0.35,0.50,0.39,0.41
0.40,0.50,0.39,0.40
0.45,0.50,0.39,0.39
0.50,0.50,0.39,0.37
0.55,0.50,0.39,0.36
0.60,0.50,0.39,0.35
0.65,0.50,0.39,0.34
0.70,0.50,0.39,0.33
0.75,0.50,0.39,0.32
0.80,0.50,0.39,0.31
0.85,0.50,0.39,0.29
0.90,0.50,0.39,0.28
0.95,0.50,0.39,0.26
1.00,0.50,0.39,0.25
0.00,0.55,0.39,0.50
0.05,0.55,0.39,0.48
0.10,0.55,0.39,0.47
0.15,0.55,0.39,0.45
0.20,0.55,0.39,0.44
0.25,0.55,0.39,0.42
0.30,0.55,0.39,0.41
0.35,0.55,0.39,0.40
0.40,0.55,0.39,0.39
0.45,0.55,0.39,0.37
0.50,0.55,0.39,0.36
0.55,0.55,0.39,0.35
0.60,0.55,0.39,0.34
0.65,0.55,0.39,0.33
0.70,0.55,0.39,0.32
0.75,0.55,0.39,0.31
0.80,0.55,0.39,0.30
0.85,0.55,0.39,0.29
0.90,0.55,0.39,0.28
0.95,0.55,0.39,0.26
1.00,0.55,0.39,0.25
0.00,0.60,0.39,0.50
0.05,0.60,0.39,0.48
0.10,0.60,0.39,0.46
0.15,0.60,0.39,0.44
0.20,0.60,0.39,0.43
0.25,0.60,0.39,0.41
0.30,0.60,0.39,0.40
0.35,0.60,0.39,0.39
0.40,0.60,0.39,0.37
0.45,0.60,0.39,0.36
0.50,0.60,0.39,0.35
0.55,0.60,0.39,0.34
0.60,0.60,0.39,0.33
0.65,0.60,0.39,0.32
0.70,0.60,0.39,0.31
0.75,0.60,0.39,0.30
0.80,0.60,0.39,0.29
0.85,0.60,0.39,0.28
0.90,0.60,0.39,0.27
0.95,0.60,0.39,0.26
1.00,0.60,0.39,0.25
0.00,0.65,0.39,0.50
0.05,0.65,0.39,0.48
0.10,0.65,0.39,0.46
0.15,0.65,0.39,0.44
0.20,0.65,0.39,0.42
0.25,0.65,0.39,0.40
0.30,0.65,0.39,0.39
0.35,0.65,0.39,0.37
0.40,0.65,0.39,0.36
0.45,0.65,0.39,0.35
0.50,0.65,0.39,0.34
0.55,0.65,0.39,0.33
0.60,0.65,0.39,0.32
0.65,0.65,0.39,0.32
0.70,0.65,0.39,0.31
0.75,0.65,0.39,0.30
0.80,0.65,0.39,0.29
0.85,0.65,0.39,0.28
0.90,0.65,0.39,0.27
0.95,0.65,0.39,0.26
1.00,0.65,0.39,0.25
0.00,0.70,0.39,0.50
0.05,0.70,0.39,0.47
0.10,0.70,0.39,0.45
0.15,0.70,0.39,0.43
0.20,0.70,0.39,0.41
0.25,0.70,0.39,0.39
0.30,0.70,0.39,0.37
0.35,0.70,0.39,0.36
0.40,0.70,0.39,0.35
0.45,0.70,0.39,0.34
0.50,0.70,0.39,0.33
0.55,0.70,0.39,0.32
0.60,0.70,0.39,0.31
0.65,0.70,0.39,0.31
0.70,0.70,0.39,0.30
0.75,0.70,0.39,0.29
0.80,0.70,0.39,0.28
0.85,0.70,0.39,0.27
0.90,0.70,0.39,0.27
0.95,0.70,0.39,0.26
1.00,0.70,0.39,0.25
0.00,0.75,0.39,0.50
0.05,0.75,0.39,0.47
0.10,0.75,0.39,0.44
0.15,0.75,0.39,0.41
0.20,0.75,0.39,0.39
0.25,0.75,0.39,0.37
0.30,0.75,0.39,0.36
0.35,0.75,0.39,0.35
0.40,0.75,0.39,0.34
0.45,0.75,0.39,0.33
0.50,0.75,0.39,0.32
0.55,0.75,0.39,0.31
0.60,0.75,0.39,0.30
0.65,0.75,0.39,0.30
0.70,0.75,0.39,0.29
0.75,0.75,0.39,0.28
0.80,0.75,0.39,0.28
0.85,0.75,0.39,0.27
0.90,0.75,0.39,0.26
0.95,0.75,0.39,0.26
1.00,0.75,0.39,0.25
0.00,0.80,0.39,0.50
0.05,0.80,0.39,0.46
0.10,0.80,0.39,0.43
0.15,0.80,0.39,0.40
0.20,0.80,0.39,0.37
0.25,0.80,0.39,0.36
0.30,0.80,0.39,0.34
0.35,0.80,0.39,0.33
0.40,0.80,0.39,0.32
0.45,0.80,0.39,0.31
0.50,0.80,0.39,0.31
0.55,0.80,0.39,0.30
0.60,0.80,0.39,0.29
0.65,0.80,0.39,0.29
0.70,0.80,0.39,0.28
0.75,0.80,0.39,0.28
0.80,0.80,0.39,0.27
0.85,0.80,0.39,0.27
0.90,0.80,0.39,0.26
0.95,0.80,0.39,0.26
1.00,0.80,0.39,0.25
0.00,0.85,0.39,0.50
0.05,0.85,0.39,0.45
0.10,0.85,0.39,0.41
0.15,0.85,0.39,0.37
0.20,0.85,0.39,0.35
0.25,0.85,0.39,0.33
0.30,0.85,0.39,0.32
0.35,0.85,0.39,0.31
0.40,0.85,0.39,0.31
0.45,0.85,0.39,0.30
0.50,0.85,0.39,0.29
0.55,0.85,0.39,0.29
0.60,0.85,0.39,0.28
0.65,0.85,0.39,0.28
0.70,0.85,0.39,0.27
0.75,0.85,0.39,0.27
0.80,0.85,0.39,0.27
0.85,0.85,0.39,0.26
0.90,0.85,0.39,0.26
0.95,0.85,0.39,0.25
1.00,0.85,0.39,0.25
0.00,0.90,0.39,0.50
0.05,0.90,0.39,0.43
0.10,0.90,0.39,0.37
0.15,0.90,0.39,0.34
0.20,0.90,0.39,0.32
0.25,0.90,0.39,0.31
0.30,0.90,0.39,0.30
0.35,0.90,0.39,0.29
0.40,0.90,0.39,0.29
0.45,0.90,0.39,0.28
0.50,0.90,0.39,0.28
0.55,0.90,0.39,0.28
0.60,0.90,0.39,0.27
0.65,0.90,0.39,0.27
0.70,0.90,0.39,0.27
0.75,0.90,0.39,0.26
0.80,0.90,0.39,0.26
0.85,0.90,0.39,0.26
0.90,0.90,0.39,0.26
0.95,0.90,0.39,0.25
1.00,0.90,0.39,0.25
0.00,0.95,0.39,0.50
0.05,0.95,0.39,0.36
0.10,0.95,0.39,0.32
0.15,0.95,0.39,0.30
0.20,0.95,0.39,0.29
0.25,0.95,0.39,0.28
0.30,0.95,0.39,0.28
0.35,0.95,0.39,0.27
0.40,0.95,0.39,0.27
0.45,0.95,0.39,0.27
0.50,0.95,0.39,0.26
0.55,0.95,0.39,0.26
0.60,0.95,0.39,0.26
0.65,0.95,0.39,0.26
0.70,0.95,0.39,0.26
0.75,0.95,0.39,0.26
0.80,0.95,0.39,0.26
0.85,0.95,0.39,0.25
0.90,0.95,0.39,0.25
0.95,0.95,0.39,0.25
1.00,0.95,0.39,0.25
0.00,1.00,0.39,0.25
0.05,1.00,0.39,0.25
0.10,1.00,0.39,0.25
0.15,1.00,0.39,0.25
0.20,1.00,0.39,0.25
0.25,1.00,0.39,0.25
0.30,1.00,0.39,0.25
0.35,1.00,0.39,0.25
0.40,1.00,0.39,0.25
0.45,1.00,0.39,0.25
0.50,1.00,0.39,0.25
0.55,1.00,0.39,0.25
0.60,1.00,0.39,0.25
0.65,1.00,0.39,0.25
0.70,1.00,0.39,0.25
0.75,1.00,0.39,0.25
0.80,1.00,0.39,0.25
0.85,1.00,0.39,0.25
0.90,1.00,0.39,0.25
0.95,1.00,0.39,0.25
1.00,1.00,0.39,0.25
